check	value	status	evidence
default_launcher_forces_universal_auto_exact	True	pass	scripts/minco_profile_default.py
default_launcher_help_explains_species_boundary	True	pass	scripts/minco_profile_default.py
docs_recommend_default_launcher	True	pass	README.md; docs/USER_MANUAL.md
default_launcher_discovers_packaged_sidecars	True	pass	scripts/minco_profile_default.py; README.md; docs/USER_MANUAL.md
candidate_preset_launcher_available	True	pass	scripts/minco_profile_default.py; README.md; docs/USER_MANUAL.md
candidate_preset_replay_matches_validated_calls	profiles=32;counts=0;F1=1.11e-16;L1=0.14;Pearson=6.88e-05;raw_mass_delta=3.552713678800501e-15;switches=strategy=universal-auto-exact;rescue=emitted-ani90-xny100-br01-af70;surface=accession-ani90-xny100-br01-af70	pass	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_preset_replay_audit.tsv
c_profile_boundary_documented_as_conservative_direct	True	pass	minco_core/src/command_profile_wrapper.c; README.md; docs/USER_MANUAL.md
reported_ani_zip_aaf_output_documented	True	pass	scripts/minco_profile_calibrated.py; README.md; docs/USER_MANUAL.md
low_extra_rescue_implemented	True	pass	scripts/minco_profile_calibrated.py
exact_low_extra_skip_default_implemented	True	pass	scripts/minco_profile_calibrated.py; README.md; docs/USER_MANUAL.md
mixed_panel_F1_beats_legacy_probability	0.709347972370461 > 0.6962140014725594	pass	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/default_strategy_readiness.tsv
low_extra_F1_beats_guarded_tail_all29	0.7284332262672971 > 0.7267472902081212	pass	research/experiments/2026-06-26_cami2_toymouse_current_default/results/low_extra_split_rescue_summary.tsv
near_split_rejected_by_F1	0.7260880382629552 < 0.7267472902081212	pass	research/experiments/2026-06-26_cami2_toymouse_current_default/results/near_split_rescue_summary.tsv
loose_cami3_source_readmap_split_rescue_rejected_by_crossval_F1	0.7026186107909951 < 0.709347972370461	pass	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_loose_split_rescue_crossval_summary.tsv
cami3_F1_beats_sylph	0.7647449184553891 > 0.6849133619755934	pass	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/default_strategy_readiness.tsv
max_su_zip1_abundance_improves_broad_fixed_call_L1	0.6072949222290874 < 0.6096772077207027	pass	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/fixed_call_abundance_summary.tsv
zip025_abundance_rejected_by_broad_fixed_call_L1	0.6866984553056441 > 0.6096772077207027	pass	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/fixed_call_abundance_summary.tsv
zip025_abundance_improves_cami3_source_readmap_L1	61.28047178806421 < 62.732029033424595	pass	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_source_readmap_abundance_sweep_summary.tsv
abundance_error_decomposition_matches_official_scores	max_abs_delta=7.82e-13	pass	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_error_decomposition_validation.tsv
