metric	value	evidence	decision
profiles_replayed	2	/tmp/minco_candidate_surface_integrated_gastrooral_20260629	focused_gastrooral_table_replay
candidate_surface_switch	accession-ani90-xny100-br01-af70	scripts/minco_profile_calibrated.py	experimental_off_by_default
candidate_surface_taxmap	/tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv	accession-level labels required to avoid taxid collapse	pass
added_rows	2	candidate_surface_added rows	candidate_surface_behavior
zero_mass_violations	0	added rows have calibrated_abundance=0 and calibrated_abundance_raw=0	pass
pooled_F1	0.9285714285714286	candidate_surface_integrated_gtdb_gastrooral_summary.tsv	matches_postprocessor_focused_replay
pooled_counts	TP=78;FP=9;FN=3	candidate_surface_integrated_gtdb_gastrooral_summary.tsv	matches_postprocessor_focused_replay
mean_L1_union_pp	48.98699110632436	candidate_surface_integrated_gtdb_gastrooral_summary.tsv	unchanged_by_zero_mass_rows
mean_Pearson_union	0.8822766995655474	candidate_surface_integrated_gtdb_gastrooral_summary.tsv	unchanged_by_zero_mass_rows
promotion_decision	experimental_not_default	focused replay only; requires all-HMP integrated replay and nonzero abundance policy	do_not_change_current_default
