item	value	evidence	status
selected_entrypoint	scripts/minco_profile	README.md; docs/USER_MANUAL.md; release_readiness.tsv	pass
selected_profile_preset	candidate	scripts/minco_profile_default.py; README.md; docs/USER_MANUAL.md; profile_rescue_switch_implementation_validation; switches=strategy=universal-auto-exact;rescue=split-p002-x300-ani095-af06-b025-d1-top1;surface=accession-ani90-xny100-br01-af70	pass
base_strategy	universal-auto-exact	strategy=universal-auto-exact;rescue=split-p002-x300-ani095-af06-b025-d1-top1;surface=accession-ani90-xny100-br01-af70	selected_default
candidate_rescue_switch	split-p002-x300-ani095-af06-b025-d1-top1	strategy=universal-auto-exact;rescue=split-p002-x300-ani095-af06-b025-d1-top1;surface=accession-ani90-xny100-br01-af70	selected_default
candidate_surface_switch	accession-ani90-xny100-br01-af70	strategy=universal-auto-exact;rescue=split-p002-x300-ani095-af06-b025-d1-top1;surface=accession-ani90-xny100-br01-af70	selected_default
candidate_surface_taxmap_requirement	GTDB accession-level candidate_surface_taxmap.tsv/accession_species_taxmap.tsv sidecar or MINCO_PROFILE_CANDIDATE_SURFACE_TAXMAP	scripts/minco_profile_default.py; scripts/minco_profile_calibrated.py; hmp_gastrooral_sample1_sidecar_discovery_check	required_for_accession_surface_default
candidate_abundance_policy	normalized-depth-alpha2	broad fixed-call abundance sweep, four-panel GTDB fixed-call variant sweep, fixed-call sample/panel safety audit, truth-aware fixed-call oracle bounds, output-feature adaptive switch LOPO audit, supervised abundance calibrator audit, sample28 same-panel holdout, external exact-split stress test, candidate normalized-depth abundance cross-panel wrapper validation, and cross-domain edge-EM policy check found no additional abundance replacement beyond the selected candidate preset; experimental genus-XnY blend, supervised calibrator, and edge-EM remain off by default	keeps_selected_candidate_preset_abundance_default
previous_default_reproduction	--profile-preset current or MINCO_PROFILE_PRESET=current	scripts/minco_profile_default.py; README.md; docs/USER_MANUAL.md	compatibility_path
default_user_command	scripts/minco_profile -r ref.minco --reads reads.fq.gz -p16 -o calibrated.profile.tsv	README.md; docs/USER_MANUAL.md	no_manual_strategy
default_preflight_command	scripts/minco_profile --check-ref -r ref.minco --reads reads.fq.gz	scripts/minco_profile_default.py; README.md; docs/USER_MANUAL.md	preflight_validates_packaged_sidecars
packaged_profile_defaults	optional minco_profile_defaults.tsv sidecar supports whitelisted domain defaults such as scope=bacteria	scripts/minco_profile_default.py; GTDBr232 S1000 packaged smoke	domain_default_without_user_options
scoring_priority	F1 first, then official abundance L1/Pearson, then ANI/reporting robustness	goal; release_readiness.tsv; candidate_default_decision_audit.tsv	documented_priority
candidate_vs_previous_minco_mean_delta	F1=0.007199;L1=-1.994230;Pearson=0.013705	candidate_default_vs_current.tsv	candidate_dominates_current_panels
candidate_preset_replay	counts=0;F1=1.11e-16;L1=0.14;Pearson=6.88e-05	results/candidate_preset_replay_audit.tsv	promote_to_selected_default_without_broad_release_claim
sylph_claim_boundary	F1_wins=1/4;L1_wins=0/4;Pearson_wins=0/4	candidate_default_vs_sylph.tsv	not_broad_sylph_beating
ani_reporting	reported_ani uses ZIP-AAF ANI; raw/emitted readwise ANI is diagnostic only	scripts/minco_profile_calibrated.py; README.md; docs/USER_MANUAL.md	reporting_ready_not_claim_win
release_status	pre_release_candidate	default_faster_than_sylph_timed_claim;clean_release_grade_holdout_bundle;abundance_beats_sylph_on_key_panels;broad_sylph_beating_claim_supported	Use universal-auto-exact plus the candidate preset as the current MinCO default, but do not claim broad universal or Sylph-beating release readiness.
