gate	status	evidence	decision
single_default_entrypoint	pass	scripts/minco_profile_default.py help; README.md; docs/USER_MANUAL.md	required_for_default
c_profile_boundary_documented	pass	minco_core/src/command_profile_wrapper.c; README.md; docs/USER_MANUAL.md	prevents treating conservative C profile as calibrated default
f1_priority_beats_previous_minco_gate	pass	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/default_strategy_readiness.tsv	supports_current_minco_default
unsafe_rescues_rejected	pass	near-split, loose CAMI3 split-rescue, HMP raw-candidate rescue sweep, and adaptive call-filter external exact-split stress checks	required_for_stability
cross_panel_candidate_rescue_default_ready	pass	diagnostic_only_not_default;best=cross_rescue_ani0.9_xny100_br0.01_af0.7_zero_mass;mean_delta_F1=0.007318855410098409;TP_delta=19.0;FP_delta=1.0;FN_delta=-19.0;validation=7.673861546209082e-13;wrapper=historical_zero_mass_validation_not_final_preset;F1=0.006471;L1_pp=-0.061420;Pearson=0.001163;zero_mass_violations=0	wrapper_validation_subsumed_by_selected_candidate_preset
candidate_preset_ergonomics	pass	scripts/minco_profile_default.py; README.md; docs/USER_MANUAL.md; profiles=32;counts=0;F1=1.11e-16;L1=0.14;Pearson=6.88e-05;raw_mass_delta=3.552713678800501e-15;switches=strategy=universal-auto-exact;rescue=emitted-ani90-xny100-br01-af70;surface=accession-ani90-xny100-br01-af70	candidate_preset_is_selected_default
abundance_default_not_replaced_by_local_candidate	pass	broad fixed-call abundance sweep, four-panel GTDB fixed-call variant sweep, fixed-call sample/panel safety audit, truth-aware fixed-call oracle bounds, output-feature adaptive switch LOPO audit, supervised abundance calibrator audit, sample28 same-panel holdout, external exact-split stress test, candidate normalized-depth abundance cross-panel wrapper validation, and cross-domain edge-EM policy check found no additional abundance replacement beyond the selected candidate preset; experimental genus-XnY blend, supervised calibrator, and edge-EM remain off by default	keeps_selected_candidate_preset_abundance_default
diagnostic_ani_reporting_available	pass	scripts/minco_profile_calibrated.py; README.md; docs/USER_MANUAL.md	reporting_ready_not_claim_win
default_faster_than_sylph_timed_claim	known_gap	default_faster_cases=1/3; default_lower_memory_cases=3/3; sample22_rawread_timing=MinCO_3:28.88_vs_Sylph_sketch_profile_3:59.34_profile_only_3:10.78; sample5_rawread_timing=MinCO_3:32.57_vs_Sylph_sketch_profile_2:52.33; sample0_rawread_timing=MinCO_3:33.54_vs_Sylph_sketch_profile_3:18.89; sample21_rawread_timing=MinCO_3:32.88_vs_Sylph_sketch_profile_3:30.07_profile_only_2:41.01; sample18_rawread_timing=MinCO_3:31.30_vs_Sylph_sketch_profile_2:15.22_profile_only_1:26.17; sample13_rawread_timing=MinCO_1:40.59_vs_Sylph_sketch_profile_3:20.23_profile_only_2:29.62; sample25_rawread_timing=MinCO_3:34.91_vs_Sylph_sketch_profile_3:10.13_profile_only_2:19.41; sample3_rawread_timing=MinCO_3:30.24_vs_Sylph_sketch_profile_2:23.51_profile_only_1:33.43; sample1_rawread_timing=MinCO_3:33.32_vs_Sylph_sketch_profile_3:10.56_profile_only_2:20.30; sample17_rawread_timing=MinCO_3:31.93_vs_Sylph_sketch_profile_2:59.16_profile_only_2:08.31; sample24_rawread_timing=MinCO_3:30.53_vs_Sylph_sketch_profile_2:33.08_profile_only_1:42.73; sample16_rawread_timing=MinCO_3:29.27_vs_Sylph_sketch_profile_2:55.53_profile_only_2:05.55; sample15_rawread_timing=MinCO_3:30.25_vs_Sylph_sketch_profile_2:54.23_profile_only_2:04.17; sample4_rawread_timing=MinCO_3:36.19_vs_Sylph_sketch_profile_2:25.11_profile_only_1:33.79; sample23_rawread_timing=MinCO_3:33.17_vs_Sylph_sketch_profile_3:03.23_profile_only_2:12.73; sample20_rawread_timing=MinCO_3:35.20_vs_Sylph_sketch_profile_3:02.95_profile_only_2:12.07; sample7_rawread_timing=MinCO_3:34.80_vs_Sylph_sketch_profile_2:23.57_profile_only_1:32.90; sample9_rawread_timing=MinCO_3:33.90_vs_Sylph_sketch_profile_3:03.06_profile_only_2:12.62; sample10_rawread_timing=MinCO_3:36.69_vs_Sylph_sketch_profile_2:21.70_profile_only_1:30.85; sample19_rawread_timing=MinCO_3:37.65_vs_Sylph_sketch_profile_3:13.38_profile_only_2:21.57; sample14_rawread_timing=MinCO_3:31.61_vs_Sylph_sketch_profile_3:07.66_profile_only_2:17.34; sidecar_policy=do_not_promote_auto_sidecar_default_without_preflight; block_exact_reuse=not_interchangeable_pairs=3/3; candidate_restricted_exact=posthoc_filter_only_not_safe_as_candidate_subset_rerun	do_not_claim_default_faster_than_sylph_yet
extended_nonrelease_panels_audited	pass	marine local plus GTDB-transfer partial evidence, plant legacy/current-exactsplit plus plant GTDB-transfer feasibility, strain current-exactsplit plus strain GTDB-transfer feasibility, cached exact-split diagnostic panel, current HMP gastrooral, HMP gastrooral source-abundance, HMP airskin source-abundance through samples0/1/3/4/5/6/7/9/10/11/13/14/15/16/17/18/19/20/21/22/23/24/25/28, and CAMI3 C-direct panels are represented in decision_checks.tsv	prevents cherry-picking domain-specific wins
