parameter	value
profile_strategy	universal-auto-exact
default_probability_threshold	0.35
exact_split_trigger	probability_extra_mass_ratio <= 0.10
exact_split_guard	joined_base_median_uaf < 0.35 OR raw_unique_to_base_ratio >= 0.80
high_extra_tail_rescue_trigger	probability_extra_mass_ratio >= 0.20 AND probability_count_ratio >= 1.20 AND joined_base_median_uaf < 0.35
high_extra_tail_rescue_probability_threshold	0.25
low_extra_split_rescue_trigger	probability_extra_mass_ratio < 0.005 AND joined_base_median_uaf < 0.45
low_extra_split_rescue_probability_threshold	0.20
low_extra_split_rescue_topn_per_genus	1
strict_split_evidence	s_XnY_ctx >= 50; s_ANI >= 0.95; s_Real_min_align_fraction >= 0.05; s_Ref_breadth >= 0.05
rejected_loose_cami3_split_rescue_rule	calibrated_probability >= 0.02; s_XnY_ctx >= 300; s_ANI >= 0.93; s_Real_min_align_fraction >= 0.30; s_Ref_breadth >= 0.20; s_Ref_mean_depth >= 1; top 1/genus
rejected_loose_cami3_split_rescue_crossval	baseline F1 0.709348 L1 0.623300; loose rescue F1 0.702619 L1 0.645890 on 26-sample readiness panel
raw_unique_fallback_rule	joined_base_n >= 15; joined_base_median_uaf >= 0.50; probability_extra_mass_ratio <= 0.03; raw_unique95_n / joined_base_n >= 0.80
normal_abundance_rule	max(s_Ref_mean_depth_max / max(s_Ref_zip_af_max, 1e-6), u_Ref_mean_depth_max / max(u_Ref_zip_af_max, 1e-6))
tail_rescue_abundance_rule	s_Ref_mean_depth_max for tail_rescue_added rows
rejected_zip025_abundance_rule	s_Ref_mean_depth_max / max(s_Ref_zip_af_max, 1e-6)^0.25
rejected_zip025_abundance_crossval	CAMI3 source-readmap L1 improves 62.732029->61.280472 pp, but broad 20-sample fixed-call L1 worsens 0.609677->0.686698 and Pearson worsens 0.932528->0.871859
reported_ani_rule	Use s_Ref_zip_aaf_ani_max by default; use u_Ref_zip_aaf_ani_max when raw_unique_fallback is active; fall back to unique ZIP-AAF ANI if split ZIP-AAF ANI is missing.
reported_ani_claim_boundary	Diagnostic continuous ANI output only; CAMI3 source/ref supports ZIP-AAF ANI over raw emitted ANI, but Toy Mouse source/rep ANIm still favors Sylph Adjusted_ANI.
default_launcher	scripts/minco_profile_default.py
default_launcher_boundary	scripts/minco_profile_default.py is the recommended no-manual-strategy entry point for calibrated species profiling; C minco profile remains the conservative direct path for species/AMR/virus/gene/mixed-domain profiling and read tracking.
default_launcher_sidecar_discovery	If --taxmap or --train-features/--train-table are not supplied and MINCO_PROFILE_TAXMAP/MINCO_PROFILE_TRAIN_FEATURES are unset, scripts/minco_profile_default.py discovers species_taxmap.tsv and joined_feature_training/ sidecars beside --ref.
default_launcher_model_cache	If --model-cache is supplied, MINCO_PROFILE_MODEL_CACHE is set, or a compatible minco_profile_rf_hgb*.joblib sidecar is found beside --ref or joined_feature_training/, scripts/minco_profile_default.py passes the cache to scripts/minco_profile_calibrated.py and skips per-run RF/HGB model fitting.
default_contract_regression_test	tests/test_minco_profile_calibrated_auto_exact.py now includes test_default_launcher_constants_match_current_strategy_manifest, which reads results/current_default_strategy_manifest.tsv and checks the selected entrypoint, candidate preset, universal-auto-exact strategy, selected candidate switches, normalized-depth-alpha2 candidate abundance, and off-by-default experimental allocators.
default_contract_regression_result	PYTHONDONTWRITEBYTECODE=1 python3 -B -m pytest tests/test_minco_profile_calibrated_auto_exact.py -q passed: 54 tests, 21 PerformanceWarning warnings from DataFrame fragmentation in scripts/minco_profile_calibrated.py.
speed_priority_mode	For calibrated species speed screening, use --strategy universal with a fitted model cache and omit --report-all. On CAMI II Toy Mouse sample6 this ran in 1:48.19 with 3.43 GiB RSS versus Sylph sketch+profile 1:50.98 with 18.81 GiB RSS, but Sylph had better F1 and abundance accuracy on that sample.
exact_skip_toymouse_audit	CAMI II Toy Mouse samples5-7 current-code table-mode comparison using cached RF/HGB models: exact split universal mean F1 0.893839, L1 13.767837 pp, Pearson 0.987977; block universal mean F1 0.892792, L1 13.619065 pp, Pearson 0.988226. Exact rescued one true low-abundance species in sample5 and changed no calls in samples6-7. Keep universal-auto-exact as F1-priority default; document --strategy universal as speed-priority mode.
default_launcher_readwise_scheduler	When raw reads are supplied, scripts/minco_profile_calibrated.py auto-selects the initial evidence scheduler. At -p1 it uses same-stream best-diff-split plus --readwise-unique-out because CAMI2 toy mouse sample6 first50k p1 took 8.10s versus 10.68s for sequential dual-pass with identical unique/split MD5s. At -p>=2 it keeps concurrent unique/split passes because full sample6 p16 took 4:09.65 versus 5:18.90 for fused same-stream sidecar with identical raw table MD5s. --sequential-readwise-passes, --same-stream-readwise-passes, and --legacy-dual-readwise-passes override auto for debugging.
same_stream_unique_sidecar_experiment	minco ani --readwise-unique-out writes a best-diff-unique profile table while the split pass streams the reads. The fused implementation updates split and unique evidence from the same candidate groups. It is promoted only for auto -p1 initial evidence generation; p16 exact-mode stays concurrent dual-pass because same-stream loses pass-level concurrency and keeps dual accumulators in one process.
calibrated_wrapper	scripts/minco_profile_calibrated.py
training_pool_default	train12
holdout_training_pool	train9 for strainmadness holdout testing
code_commit	b10e1104a9bfd02eb08f58d0c0c656de5e0a9cfc
code_describe	b10e110-dirty
decision_priority	F1 first; abundance L1/Pearson second; ANI/reporting robustness third
cami3_gtdb_transfer_rule	Transfer CAMI/NCBI species taxid to GTDB species only when GTDB metadata maps that taxid to exactly one GTDB species; exclude ambiguous and unmapped truth mass from transferred truth.
cami3_gtdb_transfer_mean_mapped_truth_mass_pct_all	13.4968
cami3_source_readmap_transfer_rule	Map source read rows to GTDB species by unique GTDB ncbi_wgs_master prefix from source contig accession; fall back to unique CAMI/NCBI taxid; exclude unmapped read rows from normalized truth.
cami3_source_readmap_mean_mapped_read_rows_pct	81.2684
cami3_source_readmap_holdout_grade	Diagnostic-grade, not release-grade: samples0-2 map 79.0589-84.9145% of read rows to GTDB species and have comparable MinCO/Sylph metrics, but 15-21% read rows remain unmapped.
cami3_minco_prediction_transfer_rule	Use calibrated profile best-reference accession when present; otherwise recover best split/unique raw MinCO reference accession per called taxid; then fall back to unique taxid/name transfer.
marine_gtdb_transfer_rule	Transfer CAMI II marine positive Bacteria/Archaea species taxids to GTDB r232 species only when GTDB metadata maps that taxid to exactly one GTDB species; exclude ambiguous, unmapped, virus, plasmid, and unidentified species mass from normalized transferred truth.
marine_gtdb_transfer_mean_scored_bacteria_archaea_mapped_truth_mass_pct	74.4053
marine_gtdb_transfer_result	CAMI II marine samples0,3,4,5 partial GTDB transfer: MinCO S1000 unique ZIP-AAF mean F1 0.730691, pooled F1 0.732126, L1 50.894507 pp, Pearson 0.941545; Sylph r226 mean F1 0.703504, pooled F1 0.705202, L1 73.864971 pp, Pearson 0.894244. This supports MinCO on partial marine transfer but remains non-release because scored Bacteria/Archaea transfer quality is only 71.3731-77.0927%.
hmp_source_abundance_transfer_rule	Map CAMI II HMP source genome accessions from abundance truth to GTDB r232 species by exact accession or unique assembly core; exclude unmapped source abundance from normalized GTDB truth. MinCO predictions use calibrated best-reference accession when present and fall back to raw unique/split best-reference accession.
hmp_source_abundance_sylph_source_rule	score_hmp_gtdb_source_abundance.py --sylph-source auto uses r232 HMP Sylph profiles from /tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232 only when both sample6 and sample11 profiles exist; otherwise it uses cached r226 diagnostic profiles. Use --sylph-source r232 to require same-release profiles.
hmp_source_abundance_mean_mapped_truth_mass_pct	98.4661
hmp_source_abundance_counterexample	Airskin samples6,11 same-release GTDB r232 current-code exact6 refresh: MinCO mean F1 0.961058, pooled F1 0.969072, L1 22.780570 pp, Pearson 0.925614; Sylph r232 chunked mean F1 0.970588, pooled F1 0.980000, L1 5.133659 pp, Pearson 0.996572. Sample6 FASTQ was restored by streaming selected BAMs from the CAMI II archive, and both sample6 and sample11 use exact split tables.
hmp_r232_abundance_gap_diagnostic	diagnose_hmp_abundance_gap.py tested fixed-call MinCO abundance variants on same-release HMP r232 samples6,11, including raw-power, split/unique ZIP-depth, output-only quality weights, and genus-local reallocation using XnY, breadth, and mutation/diff penalties. After the sample6 exact6 refresh, current calibrated abundance is already the best simple fixed-call MinCO row: L1 22.780570 pp, Pearson 0.925614, same F1 0.961058; Sylph remains far ahead at L1 5.133659 pp and Pearson 0.996572, so no simple rescaling/quality-weighting/genus-reallocation is promoted.
context_ambiguity_edge_sidecar	minco ani --readwise-edge-out and minco profile --edge-out expose experimental per-read/per-context candidate edges with qctx, gid, diff, best_diff, candidate_refs, selected_refs, selected_by_mode, and cov_inc. It forces --density-block-ctx 0 and is a diagnostic/EM substrate, not a default calibrated output.
one_scan_default_speed_target	Current universal-auto-exact default is slower than Sylph on exact-mode benchmarks because it still may run an exact split scan after initial evidence generation. Initial evidence scheduling is now adaptive, but the next speed target is deriving block-mode and exact-mode split evidence from one stream when exact mode is requested.
