metric	value	evidence	decision
candidate_vs_previous_minco_regressions	F1=0/4;L1=0/4;Pearson=0/4	results/candidate_default_vs_current.tsv	selected_candidate_dominates_previous_minco
candidate_vs_sylph_abundance_losses	L1_losses=4/4;Pearson_losses=4/4	results/candidate_default_vs_sylph.tsv	abundance_release_gap
candidate_vs_sylph_F1_wins	F1_wins=1/4	results/candidate_default_vs_sylph.tsv	F1_mixed_not_broad_sylph_beating
posthoc_blend_promotion	do_not_promote_abundance_blend;improved=26;worsened=6;max_worse=0.9934199183847312	results/candidate_preset_genus_xny_blend_audit.tsv	do_not_promote_allocator_with_sample_regressions
oracle_next_target	allocation_only=31/32;call_recovery=1/32;residual=0/32;headroom_pp=23.237189576924983;detected_truth_pct=98.42068215947246	results/candidate_callset_oracle_feasibility_audit.tsv;results/candidate_callset_oracle_feasibility_summary.tsv	prioritize_allocator_plus_call_recovery
feature_allocator_release_candidate	samples=38;switched=36;improved=34;worsened=2;mean_L1_delta_pp=-0.269171;max_worse_L1_delta_pp=0.000249;mean_F1_delta=0	results/feature_allocator_release_candidate_audit.tsv	do_not_promote_until_external_sample_safe
feature_allocator_refined_guard_candidate	s_xny_median>=230.3;mean_L1_delta_pp=-0.262955;selected_mean_L1_delta_pp=-0.311474;external_mean_L1_delta_pp=-0.004186;cached_gain_frac=0.976818	results/feature_allocator_combined_guard_audit.tsv;results/feature_allocator_refined_guard_parity_audit.tsv;results/feature_allocator_refined_score_replay_audit.tsv	refined_guard_score_replay_pass_candidate_needs_independent_holdout
feature_allocator_refined_score_replay	samples=38;switched=33;improved=33;worsened=0;mean_L1_delta_pp=-0.262955;selected_mean_L1_delta_pp=-0.311474;external_mean_L1_delta_pp=-0.004186;max_worse_L1_delta_pp=0.000000	results/feature_allocator_refined_score_replay_audit.tsv	pass;refined_guard_score_replay_pass_candidate_needs_independent_holdout
feature_allocator_refined_marine_diagnostic	samples=2;switched=2;improved=2;worsened=0;mean_L1_delta=-0.000521634;max_worse_L1=-0.000503001;mean_F1_delta=0.000000000	results/feature_allocator_refined_marine_diagnostic_audit.tsv	diagnostic_supports_refined_allocator_holdout_candidate
feature_allocator_refined_holdout_inventory	release_panels=4;release_samples=32;selected_cache_overlap=32;independent_release_ready_samples=0;samples=2,8,12,26,27;truth=5/5;minco_profile=3/5;sylph_profile=3/5;ready_pairs=3/5	results/feature_allocator_refined_independent_holdout_inventory_audit.tsv	release_grade_independent_holdout_missing
feature_allocator_refined_recovery_plan	top_route=cami3_source_readmap_extension_3_5;completed=post_recovery_scored=True;candidate_vs_sylph=minco_F1_wins=0/3;minco_L1_wins=0/3;refined_effect=improved=0;worsened=0;mean_L1_delta_pp=0.000000000;remaining=extension_result_does_not_support_default_promotion;post_recovery_runner=readmaps=3/3;selected_default=3/3;raw_tables=3/3;sylph=3/3;blocker=none;promotion=post_recovery_extension_scored;decision=review_holdout_result_before_default_change	results/feature_allocator_refined_holdout_recovery_audit.tsv	do_not_promote_refined_allocator_without_independent_release_holdout
cami3_source_profile_extension_diagnostic	samples=3,4,5;min_mapped_profile_scope_pct=62.728832;ready_samples=;improved=0;worsened=0;mean_L1_delta_pp=-0.000000000	results/cami3_source_profile_binomial_extension_audit.tsv	keep_refined_allocator_opt_in
cami3_source_readmap_recovery_inputs	;candidate_profiles=3/3;raw_tables=3/3;sylph_profiles=3/3	results/cami3_source_readmap_recovery_inputs_audit.tsv	post_recovery_scoring_ready
abundance_release_decision	selected_default_L1_losses=4/4;posthoc_blend=do_not_promote_abundance_blend;oracle=prioritize_allocator_plus_call_recovery;feature_allocator=do_not_promote_until_external_sample_safe;refined_score_replay=refined_guard_score_replay_pass_candidate_needs_independent_holdout;marine_diagnostic=diagnostic_supports_refined_allocator_holdout_candidate;holdout_inventory=release_grade_independent_holdout_missing;recovery_plan=do_not_promote_refined_allocator_without_independent_release_holdout;source_profile_extension=keep_refined_allocator_opt_in;source_readmap_inputs=post_recovery_scoring_ready	results/abundance_release_blocker_audit.tsv	expected_gap_keep_default_no_abundance_claim
