panel	sample	collapse_rule	profile	called_rows	called_species	truth_species
cami2_toy_mouse_gut	5	max	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	162	162	198
cami2_toy_mouse_gut	6	max	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	157	157	201
cami2_toy_mouse_gut	7	max	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	64	64	68
hmp_airskin_gtdb_source_abundance	6	sum	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	16	16	16
hmp_airskin_gtdb_source_abundance	11	sum	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	32	32	33
hmp_airskin_gtdb_source_abundance	28	sum	/tmp/minco_current_code_hmp_airskin28_20260627/minco_sample28_current_default.tsv	15	15	12
hmp_gastrooral_gtdb_source_abundance	0	sum	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	34	34	34
hmp_gastrooral_gtdb_source_abundance	6	sum	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv	51	51	47
cami3_toy_human_gut_gtdb_source_readmap	0	sum	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	94	94	93
cami3_toy_human_gut_gtdb_source_readmap	1	sum	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	99	99	104
cami3_toy_human_gut_gtdb_source_readmap	2	sum	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv	115	115	99
