parameter	value
date	2026-06-30
repo	/home/ubuntu/yihuiguang/tools/KSSD3mini
git_commit	87f426e7d4739e7d1664ae8c520722c264050e17
git_branch	main
git_status	dirty
offline_sweep_script	research/experiments/2026-06-30_exact_hit_abundance_trigger_sweep/sweep_exact_hit_abundance_trigger.py
raw_rerun_scorer	research/experiments/2026-06-30_exact_hit_abundance_trigger_sweep/score_trigger_validation_reruns.py
panels	cami2_toy_mouse_gut,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance,cami3_toy_human_gut_gtdb_source_readmap
offline_sample_count	32
offline_thresholds	disabled,0.50,0.40,0.30,0.25,0.20,0.15,0.10,0.05,0.00
raw_rerun_threshold	0.10
promoted_default_threshold	0.30
trigger_rule	auto_exact_split_block_p_extra_mass_ratio>=threshold AND auto_exact_split_guard_passed AND auto_exact_split_low_extra_gate_passed
call_policy	fixed_current_calls
exact_abundance_source	Ref_hit_mean_depth from exact split table matched by s_best_accession
exact_missing_accession_fallback	panel_abundance_raw
default_change_recommendation	set_EXACT_SPLIT_ABUNDANCE_TRIGGER_to_0.30_keep_inf_opt_out
offline_sweep_wall_time	2:52.09
offline_sweep_max_rss_kb	5400328
raw_validation_sample_count	4
raw_validation_work_root	/tmp/minco_exact_trigger_validation_20260630
raw_validation_threads	16
raw_validation_ref	/mnt/new3T/gtdbr220/gtdb232/GTDBr232_minco_T_S1000_anno_20260619/sketch_T_S1000_anno
raw_validation_taxmap	/tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv
raw_validation_model_cache	/tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib
raw_validation_scope	bacteria
raw_validation_cami3_sample0_trigger010_wall_time	3:22.72
raw_validation_cami3_sample0_trigger010_max_rss_kb	3627124
raw_validation_cami3_sample1_trigger010_wall_time	3:15.63
raw_validation_cami3_sample1_trigger010_max_rss_kb	3658032
raw_validation_cami3_sample2_trigger010_wall_time	3:05.47
raw_validation_cami3_sample2_trigger010_max_rss_kb	3585840
raw_validation_hmp_airskin13_trigger010_wall_time	3:06.76
raw_validation_hmp_airskin13_trigger010_max_rss_kb	3691952
