claim_id	claim	evidence_note	status	caveat
C001	On CAMI marine sample0, minco low-abundance readwise ANI misses are mainly an effective-coverage and shared-coverage assignment problem rather than only a raw distance-model problem; oracle effective-coverage AAF improved species F1 from 0.731 to 0.841.	experiments/2026-06-20_minco_readwise_correction_research/NOTE.md	needs_replication	Single CAMI sample; oracle uses Sylph Eff_cov and is not deployable without a minco-native effective-coverage estimator.
C002	On CAMI marine sample0, best-diff-unique readwise assignment plus ZIP-corrected context AAF ANI improved minco S10000 species F1 to 0.860 by direct CLI, exceeding local Sylph F1 0.831 on the same gold/taxmap scoring path.	experiments/2026-06-20_minco_readwise_assignment_fix/NOTE.md	needs_replication	Single CAMI sample and local OPAL-like scoring; needs more CAMI samples and official OPAL validation.
C003	On CAMI II marine short-read samples 0-2, minco S10000 best-diff-unique plus ZIP AAF beat local Sylph mean species F1, 0.860 versus 0.832, mainly by reducing mean FP from 60.7 to 41.3 at nearly equal recall.	experiments/2026-06-20_cami2_marine_extra_samples/NOTE.md	supported	Local OPAL-like taxid scoring only; minco and Sylph use different GTDB releases, and official OPAL validation plus samples 3-9 are still needed.
C004	On CAMI II marine short-read samples 0-2, minco S1000 GTDB-only matched S10000 accuracy and was much more efficient: mean F1 0.862 versus 0.860, mean runtime 124.5s versus 169.8s, and peak RSS 3.70GB versus 33.65GB.	experiments/2026-06-20_cami2_marine_s1000_choice/NOTE.md	supported	Marine replicate samples only; needs a different dataset and official OPAL-style validation before setting S1000 as a general default.
C005	On CAMI3 Toy Human Gut sample0 and CAMI2 Marine sample0, a simple unique-primary/split-rescue hybrid threshold rule did not generalize: split mode improved recall, but the joint hybrid rule did not beat local Sylph or the best unique baseline.	experiments/2026-06-21_minco_hybrid_unique_split_readwise_rule/NOTE.md	negative_result	Only two samples and local species-taxid scoring; same-sample tuned hybrid thresholds can improve individual datasets but are not valid defaults.
C006	On CAMI II marine samples 0-2 plus CAMI III Toy Human Gut samples 0-2, a random-forest minco call model using joined unique/split readwise features improved local species-level mean F1 to 0.745 versus 0.725 for local Sylph and 0.646 for the fixed minco direct threshold.	experiments/2026-06-21_minco_multisample_call_calibration/NOTE.md	preliminary	Local species-taxid scoring only; toy scoring is bacteria-only; minco and Sylph use different GTDB releases; needs a third distinct domain and official OPAL-style validation before release.
C007	On a nine-sample CAMI panel spanning marine0-2, Toy Human Gut0-2, and plant-associated0-2, a no-dataset-label minco RF/HGB averaged call model with strict/relaxed rule-evidence features improved local species-level mean F1 to 0.698 versus 0.676 for local Sylph and 0.598 for fixed minco unique direct.	experiments/2026-06-21_minco_third_domain_plant_calibration/NOTE.md	preliminary	Local species-taxid scoring only; toy and plant scoring are bacteria-only; minco and Sylph use different GTDB releases; still needs independent datasets, official OPAL validation, and production-model distillation.
C008	On external CAMI II strain-madness short-read samples 0-2, the current train9 RF/HGB averaged minco call model failed to beat local Sylph: mean F1 0.466 versus 0.527 for Sylph, while minco candidates still contained 17 of 20 gold species per sample.	experiments/2026-06-21_minco_external_strain_holdout/NOTE.md	negative_result	Local species-taxid scoring only; minco and Sylph use different GTDB releases; three gold species were absent from current GTDB/taxmap mapping; result argues against exporting the current ensemble as a default.
C009	On CAMI II Toy Mouse Gut sample0, sample-specific source-aware scoring using CAMISIM source genomes showed that GTDB representative taxonomy caused most of the apparent exact-taxid failure: Sylph improved from F1 0.758 to 0.968 and minco train9 RF/HGB improved from 0.738 to 0.921.	experiments/2026-06-21_minco_toy_mouse_gut_sample0/NOTE.md	diagnostic	Local source-aware scoring is valid for CAMISIM benchmarks but uses sample source genomes unavailable in real deployment; minco still did not beat Sylph on mouse sample0 after correction.
C010	On CAMI II Toy Mouse Gut sample0, GTDB S2000 context-markerdb after AAF 0.03 dedup improved minco unique direct GTDB-species F1 from 0.862 to 0.878; adding naive ANI with a high-depth breadth floor reached F1 0.892 with the Poisson-depth context filter.	experiments/2026-06-21_gtdb_s2000_dedup_markerdb_readwise/NOTE.md	diagnostic	Single CAMISIM sample; dedup removed only 182 of 200709 refs; GTDB truth uses unique GCF/GCA assembly-core fallback for 12 of 75 source genomes; breadth-depth cutoffs are empirically chosen here and need replication; Ref_zip_af>=0.5 was too conservative.
C011	On CAMI II Toy Mouse Gut samples 0-2, adding a Sylph-like robust effective-depth abundance estimator to MinCO ctx-markerdb reduced GTDB-species mean L1 error from 17.0 to 2.53 percentage points, but robust depth alone still did not beat Sylph at 2.29.	experiments/2026-06-22_minco_sylph_abundance_model/NOTE.md	diagnostic	Three-sample Toy Mouse benchmark only; constants median>=20 and AF exponent 1.05 are empirical; superseded for final abundance L1 by C012 after adding an intra-genus winner rescue.
C012	On CAMI II Toy Mouse Gut samples 0-2, MinCO ctx-marker robust effective depth plus a conservative intra-genus winner rescue beat Sylph on GTDB-species abundance L1: 1.79 versus 2.29 percentage points.	experiments/2026-06-22_minco_sylph_abundance_model/NOTE.md	preliminary	Three-sample Toy Mouse benchmark only; the rescue uses GTDB genus/species mapping and empirical thresholds; Sylph still has better presence recall and rank correlation, so this is an abundance-L1 result, not a complete profiler win.
C013	On CAMI3 Toy Human Gut samples 0-2, the Toy Mouse intra-genus winner rescue did not transfer: it rescued zero species, while robust MinCO ctx+obj abundance improved L1 from 46.61 to 32.63 percentage points but remained worse than Sylph at 27.79.	experiments/2026-06-23_cami3_toygut_abundance_rescue/NOTE.md	negative_result	CAMI bacterial NCBI species-taxid scoring, not GTDB species scoring; strict rescue rule was transferred unchanged; a CAMI3-specific calibration may behave differently.
C014	On the six-sample mouse GTDB plus CAMI3 NCBI mixed abundance panel, row-level leave-one-sample-out MinCO abundance calibration did not improve over raw value_sum and did not beat Sylph: best raw MinCO L1 was 17.82 versus Sylph 15.04.	experiments/2026-06-24_abundance_feature_calibration/NOTE.md	negative_result	Only six samples; model selection was on the same panel; mouse and CAMI3 use different truth namespaces; result points toward read-level or EM-style mass assignment rather than row-level regression.
C015	On the six-sample mouse GTDB plus CAMI3 NCBI benchmark, the full S2000 marked-unique proxy slightly improved old MinCO ctx-marker but did not beat Sylph or the current mixed MinCO rows for F1/abundance; MinCO coden15 still slightly beat Sylph adjusted ANI on the CAMI3 source/ref ANI subset.	experiments/2026-06-24_full_s2000_marked_unique_full_benchmark/NOTE.md	negative_result	Proxy result is now confirmed and superseded by integrated implementation claim C016; F1/abundance use mixed truth namespaces and only six samples.
C016	The integrated `minco ani --readwise-dual-evidence` full S2000 implementation reproduced the previous marked-unique proxy on the six-sample mouse GTDB plus CAMI3 NCBI benchmark, and aggregate full-S2000 add-back/EM proxies still did not beat Sylph or the current mixed MinCO rows for F1/abundance.	experiments/2026-06-24_integrated_dual_evidence_benchmark/NOTE.md	negative_result	Only six samples; marker/full fallback thresholds were inherited from the proxy experiment and not retuned; aggregate EM used per-reference totals rather than true context/read ambiguity groups, so it tests only a proxy for shared-context assignment.
C017	On CAMI II Toy Mouse Gut, true read/context-level ambiguity edge dumps worked, but fixed edge-EM abundance blending is not a default candidate: raw EM worsened sample0 L1, and the best mouse0-2 fixed-beta mean was beta 0 (marker L1 3.0361 pp versus best positive beta 3.0368 pp).	experiments/2026-06-24_context_level_ambiguity_em_prototype/NOTE.md	negative_result	Edge groups with more than 64 candidates were skipped; EM was restricted to marker-supported species and ambiguous groups only; sample0 and sample2 can improve with sample-specific beta, so this rejects fixed global blending, not all possible adaptive context-level EM designs.
C018	The guarded `universal-auto-exact` MinCO calibrated profile wrapper is the current F1-priority default: on the 26-sample mixed panel it improves mean F1 over the legacy probability gate (0.7093 versus 0.6962), and on CAMI III Toy Human Gut samples 0-5 it beats Sylph mean F1 (0.7647 versus 0.6849) while reducing FP+FN.	experiments/2026-06-26_cami2_hmp_unseen_transfer/NOTE.md	preliminary	Local taxid/GTDB-transfer scoring only; Sylph still has better CAMI III abundance L1/Pearson, and final cross-dataset claims need systematic GTDB truth transfer plus more unseen benchmark types.
C019	As of 2026-06-27, the best supported single MinCO default is `universal-auto-exact` with guarded exact split, high-extra low-uAF probability-tail rescue, and low-extra split rescue; this is a best-known MinCO F1-priority default, not a proven universal Sylph-beating strategy.	experiments/2026-06-27_universal_strategy_decision/NOTE.md	preliminary	CAMI II Toy Mouse samples5-7, HMP gastrooral, and HMP airskin source-abundance still favor Sylph for F1 and abundance L1/Pearson; CAMI III partial source-readmap transfer supports MinCO F1 but maps only 81.2684% mean read-row mass and Sylph remains better for abundance; release-readiness audit is pre_release_candidate because only 1/5 panels are clean release-grade GTDB truth, and C minco profile is documented as a conservative direct/domain path rather than the calibrated species default.
C020	For calibrated MinCO profile output, ZIP-AAF ANI should be exposed as `reported_ani`: it is closer to source/ref ANI than raw emitted MinCO ANI on Toy Mouse and is close to Sylph Adjusted_ANI on CAMI3 source/ref, but it is diagnostic rather than a universal Sylph-beating ANI claim.	experiments/2026-06-27_universal_strategy_decision/NOTE.md	diagnostic	Toy Mouse source-to-representative ANIm still favors Sylph Adjusted_ANI; `reported_ani` is a reporting field and does not change call or abundance logic.
C021	As of 2026-06-30, the achievable MinCO release goal is supported: `scripts/minco_profile` provides a single default command, `--check-ref` validates packaged references, sidecar defaults avoid expert domain flags, and the current candidate preset is supported versus previous MinCO defaults with explicit claim boundaries.	experiments/2026-06-27_universal_strategy_decision/ACHIEVABLE_RELEASE_GOAL.md	supported	This is a release-readiness/user-usability claim, not a universal Sylph-beating or abundance-superiority claim; the broad research objective remains incomplete until release-grade holdout and abundance gaps close.
