metric	value	evidence	decision
timed_default_cases	3	runtime_strategy_cases.tsv	small_current_timed_set
timed_default_faster_than_sylph_cases	1/3	runtime_strategy_cases.tsv	default_speed_claim_not_supported
timed_default_lower_memory_than_sylph_cases	3/3	runtime_strategy_cases.tsv	memory_advantage_consistent_in_timed_cases
timed_opt_in_sidecar_faster_than_sylph_cases	1/2	runtime_strategy_cases.tsv	sidecar_is_conditional_speed_substrate_not_default
timed_opt_in_sidecar_lower_memory_than_sylph_cases	2/2	runtime_strategy_cases.tsv	sidecar_memory_still_below_sylph_in_timed_cases
sidecar_default_promotion_decision	do_not_promote_auto_sidecar_default_without_preflight	exact_sidecar_policy_audit.tsv	do_not_promote_unconditional_sidecar_default
block_exact_reuse_decision	not_interchangeable_pairs=3/3	block_exact_split_semantics_audit.tsv	do_not_synthesize_block_split_from_exact_per_read
candidate_restricted_exact_decision	posthoc_filter_only_not_safe_as_candidate_subset_rerun	candidate_restricted_exact_feasibility_audit.tsv	do_not_promote_candidate_only_exact_rerun
candidate_restricted_exact_min_keep_fraction	0.00140213	candidate_restricted_exact_feasibility_audit.tsv	posthoc_output_reduction_not_scan_cost_reduction
default_faster_than_sylph_claim_supported	false	runtime_strategy_cases.tsv	known_gap_until_conditional_exact_sidecar_or_other_speed_fix
runtime_next_target	conditional_exact_sidecar_or_lower_cost_dual_channel_processing	HMP sample0 exact sidecar win; Toy Mouse sample6 eager sidecar penalty; block/exact split rows are not interchangeable; candidate-only exact rerun is not proven safe from aggregate outputs	preserve current default accuracy while removing exact-rerun latency
